DHT-ST3;;;
Kommentar einfügen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;°C;mbar
Fri Sep 30 11:46:25 2016;0;37;273934
Fri Sep 30 11:46:30 2016;0,00138889;37;423627
Fri Sep 30 11:46:35 2016;0,00277778;37;571032
Fri Sep 30 11:46:40 2016;0,00416667;37;719199
Fri Sep 30 11:46:45 2016;0,00555556;37;868,74
Fri Sep 30 11:46:50 2016;0,00694444;37;1013,7
Fri Sep 30 11:46:55 2016;0,00833333;37;1135,01
Fri Sep 30 11:47:00 2016;0,00972222;37;1199,41
Fri Sep 30 11:47:05 2016;0,0111111;37;1189,49
Fri Sep 30 11:47:10 2016;0,0125;37;1179,88
Fri Sep 30 11:47:15 2016;0,0138889;37;1175,6
Fri Sep 30 11:47:20 2016;0,0152778;37;1172,25
Fri Sep 30 11:47:25 2016;0,0166667;37;1169,81
Fri Sep 30 11:47:30 2016;0,0180556;37;1169,35
Fri Sep 30 11:47:35 2016;0,0194444;37;1166,45
Fri Sep 30 11:47:40 2016;0,0208333;37;1164,92
Fri Sep 30 11:47:45 2016;0,0222222;37;1163,7
Fri Sep 30 11:47:50 2016;0,0236111;37;1163,7
Fri Sep 30 11:47:55 2016;25;37;1160,65
Fri Sep 30 11:48:00 2016;0,0263889;37;1159,58
Fri Sep 30 11:48:05 2016;0,0277778;37;1157,14
Fri Sep 30 11:48:10 2016;0,0291667;37;1156,22
Fri Sep 30 11:48:15 2016;0,0305556;37;1153,78
Fri Sep 30 11:48:20 2016;0,0319444;37;1153,02
Fri Sep 30 11:48:25 2016;0,0333333;37;1151,8
Fri Sep 30 11:48:30 2016;0,0347222;37;1150,88
Fri Sep 30 11:48:35 2016;0,0361111;37;1150,88
Fri Sep 30 11:48:40 2016;0,0375;37;1148,14
Fri Sep 30 11:48:45 2016;0,0388889;37;1146,61
Fri Sep 30 11:48:50 2016;0,0402778;37;1144,32
Fri Sep 30 11:48:55 2016;0,0416667;37;1143,41
Fri Sep 30 11:49:00 2016;0,0430556;37;1142,34
Fri Sep 30 11:49:05 2016;0,0444444;37;1141,42
Fri Sep 30 11:49:10 2016;0,0458333;37;1141,42
Fri Sep 30 11:49:15 2016;0,0472222;37;1139,29
Fri Sep 30 11:49:20 2016;0,0486111;37;1138,83
Fri Sep 30 11:49:25 2016;0,05;37;1135,93
Fri Sep 30 11:49:30 2016;0,0513889;37;1134,56
Fri Sep 30 11:49:35 2016;0,0527778;37;1133,49
Fri Sep 30 11:49:40 2016;0,0541667;37;1131,66
Fri Sep 30 11:49:45 2016;0,0555556;37;1129,98
Fri Sep 30 11:49:50 2016;0,0569444;37;1129,67
Fri Sep 30 11:49:55 2016;0,0583333;37;1128,6
Fri Sep 30 11:50:00 2016;0,0597222;37;1127,84
Fri Sep 30 11:50:05 2016;0,0611111;37;1126,62
Fri Sep 30 11:50:10 2016;0,0625;37;1124,33
Fri Sep 30 11:50:15 2016;0,0638889;37;1122,96
Fri Sep 30 11:50:20 2016;0,0652778;37;1122,5
Fri Sep 30 11:50:25 2016;0,0666667;37;1120,52
Fri Sep 30 11:50:30 2016;0,0680556;37;1118,84
Fri Sep 30 11:50:35 2016;0,0694444;37;1117,77
Fri Sep 30 11:50:40 2016;0,0708333;37;1116,86
Fri Sep 30 11:50:45 2016;0,0722222;37;1115,02
Fri Sep 30 11:50:50 2016;0,0736111;37;1115,94
Fri Sep 30 11:50:55 2016;75;37;1112,28
Fri Sep 30 11:51:00 2016;0,0763889;37;1112,74
Fri Sep 30 11:51:05 2016;0,0777778;37;1112,12
Fri Sep 30 11:51:10 2016;0,0791667;37;1109,99
Fri Sep 30 11:51:15 2016;0,0805556;37;1107,24
Fri Sep 30 11:51:20 2016;0,0819444;37;1107,39
Fri Sep 30 11:51:25 2016;0,0833333;37;1106,17
Fri Sep 30 11:51:30 2016;0,0847222;37;1106,33
Fri Sep 30 11:51:35 2016;0,0861111;37;1104,34
Fri Sep 30 11:51:40 2016;0,0875;37;1104,34
Fri Sep 30 11:51:45 2016;0,0888889;37;1100,99
Fri Sep 30 11:51:50 2016;0,0902778;37;1099,61
Fri Sep 30 11:51:55 2016;0,0916667;37;1099,15
Fri Sep 30 11:52:00 2016;0,0930556;37;1096,41
Fri Sep 30 11:52:05 2016;0,0944444;37;1095,34
Fri Sep 30 11:52:10 2016;0,0958333;37;1094,88
Fri Sep 30 11:52:15 2016;0,0972222;37;1094,12
Fri Sep 30 11:52:20 2016;0,0986111;37;1093,2
Fri Sep 30 11:52:25 2016;0,1;37;1092,9
Fri Sep 30 11:52:30 2016;0,101389;37;1089,85
Fri Sep 30 11:52:35 2016;0,102778;37;1088,63
Fri Sep 30 11:52:40 2016;0,104167;37;1088,32
Fri Sep 30 11:52:45 2016;0,105556;37;1086,79
Fri Sep 30 11:52:50 2016;0,106944;37;1086,03
Fri Sep 30 11:52:55 2016;0,108333;37;1083,44
Fri Sep 30 11:53:00 2016;0,109722;37;1082,52
Fri Sep 30 11:53:05 2016;0,111111;37;1081
Fri Sep 30 11:53:10 2016;0,1125;37;1079,93
Fri Sep 30 11:53:15 2016;0,113889;37;1078,71
Fri Sep 30 11:53:20 2016;0,115278;37;1078,71
Fri Sep 30 11:53:25 2016;0,116667;37;1076,11
Fri Sep 30 11:53:30 2016;0,118056;37;1074,13
Fri Sep 30 11:53:35 2016;0,119444;37;1073,82
Fri Sep 30 11:53:40 2016;0,120833;37;1072,76
Fri Sep 30 11:53:45 2016;0,122222;37;1072,15
Fri Sep 30 11:53:50 2016;0,123611;37;1069,55
Fri Sep 30 11:53:55 2016;125;37;1069,7
Fri Sep 30 11:54:00 2016;0,126389;37;1067,11
Fri Sep 30 11:54:05 2016;0,127778;37;1066,04
Fri Sep 30 11:54:10 2016;0,129167;37;1066,35
Fri Sep 30 11:54:15 2016;0,130556;37;1064,97
Fri Sep 30 11:54:20 2016;0,131944;37;1064,06
Fri Sep 30 11:54:25 2016;0,133333;37;1063,14
Fri Sep 30 11:54:30 2016;0,134722;37;1061,92
Fri Sep 30 11:54:35 2016;0,136111;37;1060,09
Fri Sep 30 11:54:40 2016;0,1375;37;1059,79
Fri Sep 30 11:54:45 2016;0,138889;37;1058,26
Fri Sep 30 11:54:50 2016;0,140278;37;1055,82
Fri Sep 30 11:54:55 2016;0,141667;37;1055,36
Fri Sep 30 11:55:00 2016;0,143056;37;1054,6
Fri Sep 30 11:55:05 2016;0,144444;37;1054,45
Fri Sep 30 11:55:10 2016;0,145833;37;1052,61
Fri Sep 30 11:55:15 2016;0,147222;37;1053,22
Fri Sep 30 11:55:20 2016;0,148611;37;1052
Fri Sep 30 11:55:25 2016;0,15;37;1049,87
Fri Sep 30 11:55:30 2016;0,151389;37;1048,34
Fri Sep 30 11:55:35 2016;0,152778;37;7,0498
Fri Sep 30 11:55:40 2016;0,154167;37;3,23486
Fri Sep 30 11:55:45 2016;0,155556;37;3,08228
Fri Sep 30 11:55:50 2016;0,156944;37;2,16675
Fri Sep 30 11:55:55 2016;0,158333;37;2,47192
Fri Sep 30 11:56:00 2016;0,159722;37;2,62451
Fri Sep 30 11:56:05 2016;0,161111;37;2,01416
Fri Sep 30 11:56:10 2016;0,1625;36,9;2,47192
Fri Sep 30 11:56:15 2016;0,163889;36,9;2,31934
Fri Sep 30 11:56:20 2016;0,165278;36,9;1,70898
Fri Sep 30 11:56:25 2016;0,166667;36,8;3,38745
