DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 01:54:23 2016;0,330556;27;1211,16
Fri Sep 30 01:54:28 2016;0,331944;24;1211,77
Fri Sep 30 01:54:33 2016;0,333333;25;1211,31
Fri Sep 30 01:54:38 2016;0,334722;25;1210,7
Fri Sep 30 01:54:43 2016;0,336111;26;1211,16
Fri Sep 30 01:54:48 2016;0,3375;26;1211,31
Fri Sep 30 01:54:53 2016;0,338889;25;1211,62
Fri Sep 30 01:54:58 2016;0,340278;25;1212,07
Fri Sep 30 01:55:03 2016;0,341667;26;1211,46
Fri Sep 30 01:55:08 2016;0,343056;24;1211,62
Fri Sep 30 01:55:13 2016;0,344444;24;1211,31
Fri Sep 30 01:55:18 2016;0,345833;24;1212,23
Fri Sep 30 01:55:23 2016;0,347222;25;1212,07
Fri Sep 30 01:55:28 2016;0,348611;27;1211,31
Fri Sep 30 01:55:33 2016;0,35;25;1211,77
Fri Sep 30 01:55:38 2016;0,351389;27;1212,38
Fri Sep 30 01:55:43 2016;0,352778;25;1211,92
Fri Sep 30 01:55:48 2016;0,354167;25;1211,92
Fri Sep 30 01:55:53 2016;0,355556;25;1211,62
Fri Sep 30 01:55:58 2016;0,356944;23;1211,62
Fri Sep 30 01:56:03 2016;0,358333;25;1211,62
Fri Sep 30 01:56:08 2016;0,359722;26;1211,77
Fri Sep 30 01:56:13 2016;0,361111;27;1211,77
Fri Sep 30 01:56:18 2016;0,3625;24;1212,07
Fri Sep 30 01:56:23 2016;0,363889;25;1211,46
Fri Sep 30 01:56:28 2016;0,365278;23;1210,39
Fri Sep 30 01:56:33 2016;0,366667;23;1210,09
Fri Sep 30 01:56:38 2016;0,368056;25;1211,31
Fri Sep 30 01:56:43 2016;0,369444;23;1209,02
Fri Sep 30 01:56:48 2016;0,370833;24;1210,39
Fri Sep 30 01:56:53 2016;0,372222;25;1210,24
Fri Sep 30 01:56:58 2016;0,373611;27;1211,01
Fri Sep 30 01:57:03 2016;0,375;26;1211,62
Fri Sep 30 01:57:08 2016;0,376389;27;1211,92
Fri Sep 30 01:57:13 2016;0,377778;24;1211,31
Fri Sep 30 01:57:18 2016;0,379167;25;1211,31
Fri Sep 30 01:57:23 2016;0,380556;26;1211,31
Fri Sep 30 01:57:28 2016;0,381944;27;1211,92
Fri Sep 30 01:57:33 2016;0,383333;27;1211,62
Fri Sep 30 01:57:38 2016;0,384722;24;1211,62
Fri Sep 30 01:57:43 2016;0,386111;23;1211,77
Fri Sep 30 01:57:48 2016;0,3875;23;1211,62
Fri Sep 30 01:57:53 2016;0,388889;25;1210,85
Fri Sep 30 01:57:58 2016;0,390278;26;1212,53
Fri Sep 30 01:58:03 2016;0,391667;27;1211,92
Fri Sep 30 01:58:08 2016;0,393056;23;1211,92
Fri Sep 30 01:58:13 2016;0,394444;25;1212,07
Fri Sep 30 01:58:18 2016;0,395833;25;1211,77
Fri Sep 30 01:58:23 2016;0,397222;26;1212,07
Fri Sep 30 01:58:28 2016;0,398611;23;1211,92
Fri Sep 30 01:58:33 2016;0,4;25;1211,62
Fri Sep 30 01:58:38 2016;0,401389;23;1211,31
Fri Sep 30 01:58:43 2016;0,402778;26;1211,46
Fri Sep 30 01:58:48 2016;0,404167;25;1211,46
Fri Sep 30 01:58:53 2016;0,405556;25;1211,16
Fri Sep 30 01:58:58 2016;0,406944;23;1211,92
Fri Sep 30 01:59:03 2016;0,408333;26;1212,38
Fri Sep 30 01:59:08 2016;0,409722;26;1212,23
Fri Sep 30 01:59:13 2016;0,411111;26;1211,62
Fri Sep 30 01:59:18 2016;0,4125;26;1211,46
Fri Sep 30 01:59:23 2016;0,413889;27;1211,62
Fri Sep 30 01:59:28 2016;0,415278;24;1211,62
Fri Sep 30 01:59:33 2016;0,416667;26;1211,16
Fri Sep 30 01:59:38 2016;0,418056;26;1211,01
Fri Sep 30 01:59:43 2016;0,419444;23;1211,62
Fri Sep 30 01:59:48 2016;0,420833;23;1210,85
